question,answer
Wie wird der Minderbestand definiert,"Herstellungsmenge < Absatzmenge = Bestandsminderung. Bestandsminderung entsteht, wenn in einem GJ mehr Erzeugnisse verkauft als hergestellt wurden. Minderbestand wird im GuV-Konto als Aufwand den Umsatzerlösen gegenübergestellt."
Was sind die gesetzlichen Vorgaben einer Kapitalgesellschaft im Bezug auf den Jahresabschluss,"Kapitalgesellschaft sind verpflichtet, den Jahresabschluss und Lagebericht zu veröffentlichen und vorher von unabhängigen Abschlussprüfungen prüfen zu lassen. Art und Umfang der Veröffentlichung, Prüfung, sowie Bilanzgliederung richten sich jedoch nach Art und Größe der Kapitalgesellschaft"
Was sind die Grundsätze ordnungsgemäßer Bilanzierung,"Bilanzklarheit, Bilanzwahrheit, Bilanzidentität, Bilanzkontinuität"
Was sind der Grundsatz der periodengerechten Abgrenzung,"Die Ermittlung eines periodengerechten, vergleichbaren Jahreserflog bedarf der zeitraumrichtigen Zuordnung von Aufwendungen und Erträgen. Eine Nichtbeachtung dieses Grundsatzes führt zu einem verfälschten Jahreserfolg"
"Im Inventar wird das Vermögen gegliedert nach... a) dem Alphabet, b) Zunehmender Liquidität, c) Abnehmender Flüssigkeit, d) Zunehmender Fälligkeit",b)
"Nach der Abgabenordnung sind gewerbliche Unternehmer von der Buchführungspflicht befreit, wenn... a) Die Schulden sind höher als 60.000 EUR sind, b) Das Anlagevermögen mindestens 60.000 EUR beträgt, c) Der Jahresumsatz nicht höher als 600.000 EUR und/oder der Jahresgewinn nicht höher als 60.000 EUR sind",c)
"Zum Umlaufvermögen gehören beispielsweise... a) Vorräte, Geldmittel, Maschinen b) Rohstoffe, Hilfsstoffe, Fertige Erzeugnisse, Forderungen, Bankguthaben, Kasse c) Roh-, Hilfs- und Betriebsstoffe, unfertige Erzeugnisse, Verbindlichkeiten d) Darlehen, Verbindlichkeiten aus Lieferung und Leistungen, Rückstellungen",b)
"Welche der folgenden Bilanzgleichen ist korrekt? a) Vermögen = Eigenkapital + Fremdkapital, b) Umlaufvermögen - Anlagevermögen = Fremdkapital + Eigenkapital, c) Anlagevermögen = Eigenkapital + Umlaufvermögen",a)
"Die Bilanz nach HGB sortiert... a) die Aktiv- und Passivseite ohne eine bestimmte Logik, b) die Aktivseite nach Fälligkeit, die Passivseite nach Häufigkeit/ Volumen, c) die Aktiv- und Passivseite nach dem Alphabet, d) die Aktivseite nach Liquidität, die Passivseite nach Fristigkeit",d)
"Angenommen die Privatentnahmen sind höher als der Gewinn der Unternehmungen. Welche Auswirkungen hätte dies auf das Eigenkapital? a) Es bleibt gleich, b) Es verringert sich, c) Es vermehrt sich",b)
"Mit dem Grundsatz der Bilanzidentität ist gemeint... a) Bilanz muss vollständig sein. Be träge und Bezeichnungen der Positionen müssen stimmen, b) Die Bilanz muss immer gleich gegliedert werden aufgrund der Vergleichbarkeit. Bewertungsmethoden müssen beibehalten werden, c) Eindeutige Bezeichnung der Bilanzposten und übersichtlich geordnete und gegliederte Bilanz, d) Schlussbilanz des Vorjahres und Eröffnungsbilanz des aktuellen Jahres müssen übereinstimmen",d)
"Aufwendungen werden... a) im Soll erfasst, b) im Haben erfasst, c) je nach Sachverhalt entweder im Soll oder Haben erfasst",a)
"Die nachverlegte Inventur... a) muss in den ersten drei Monaten nach dem Bilanzstichtag durchgeführt werden, b) muss mindestens einmal im Jahr durchgeführt werden, c) muss zeitnah innerhalb einer Frist von 10 Tagen vor oder nach dem Bilanzstichtag durchgeführt werden, d) muss in den ersten zwei Monaten nach dem Bilanzstichtag durchgeführt werden",d)
"Wer muss eine Bilanz nach dem Handelsgesetzbuch unterschreiben? a) Der Kaufmann, b) Der Bilanzbuchhalter, c) Der Finanzbeamte vom zuständigen Finanzamt",a)
"Das Eigenkapital betrug am Anfang des Jahres 200.000 EUR, am Ende des Jahres 220.000 EUR. Es wurden im laufenden Jahr Privat entnahmen von 10.000 EUR getätigt. Wie hoch ist der Gewinn? a) 10.000 EUR, b) 20.000 EUR, c) 30.000 EUR, d) den Gewinn kann man so nicht ermitteln",c)
"Die Vorsteuer ist... a) eine Verbindlichkeit gegenüber dem Finanzamt, b) eine Forderung gegenüber dem Finanzamt, c) die auf Ausgangsrechnungen aufgeführte Umsatzsteuer",b)
"Ein Grundsatz ordnungsgemäßer Buchführung ist: a) Privateinlagen können ohne Erstellung eines Belegs erfolgen, b) Schulden müssen mit dem Vermögen verrechnet werden, c) Die Buchführung muss klar und übersichtlich sein, d) Die Buchungen können in jeder beliebigen Sprache geführt werden.",c)
"Die Passiva zeigt... a) den Gewinn, b) die Mittelherkunft, c) die liquiden Mittel",b)
"In der XY GmbH liegt eine Bestandserhöhung an fertigen Erzeugnissen vor. Welcher Buchungssatz passt zu dieser Aussage? a) Bestandsveränderungen an Fertige Erzeugnisse, b) Schlussbilanzkonto an Fertige Erzeugnisse, c) Fertige Erzeugnisse an Bestandsveränderungen",c)
"Das Unternehmen XY hat eine Maschine für 100.000 EUR (Anschaffungskosten) gekauft. Die Nutzungsdauer gemäß Afa-Liste beträgt 5 Jahre. Wie hoch ist der Buchwert nach drei Nutzungsjahren? a) 60.000 EUR, b) 40.0 0 0 EUR, c) 0 bzw. 1 EUR",b)
"Das Inventar... a) Wird auf Grundlage der Bilanz erstellt, b) Setzt sich zusammen aus Anlagevermögen, Umlaufvermögen und Eigenkapital, c) Setzt sich aus den drei Hauptbestandteilen Vermögen, Schulden und Reinvermögen zusammen, d) Ist ein kurz gefasstes Verzeichnis des gesamten Vermögens und der Schulden nach Art und Menge zu einem bestimmten Zeit punkt, wobei sich das Reinvermögen als Differenz aus Vermögen und Schulden ergibt.",c)
"Das Eigenkapital und das Fremdkapital stehen in der Bilanz auf der ... a) Aktiva, b) Passiva, c) Soll-Seite, d) Haben-Seite",b)
"Die Aufbewahrungsfrist für das Inventar beträgt... a) Ein Jahr, b) Fünf Jahre, c) Zehn Jahre, d) Dreißig Jahre",c)
"Herr Newspaper arbeitet für verschiedene Zeitungen als Journalist. Sein Umsatz lag in den letzten beiden Jahren bei 120.000 EUR, zwei Drittel davon konnte er als Gewinn verbuchen. Ist Herr Newspaper nach HGB buchführungspflichtig? a) ja, jeder Kaufmann muss Bücher führen egal wie viel Umsatz oder Gewinn er erwirtschaftet, b) ja, mit seinem Umsatz und seinem Gewinn übersteigt er die Grenzen zur Befreiung von der Buchführungspflicht, c) nein, mit seinem Umsatz und seinem Gewinn unterstreitet er die Grenzen zur Befreiung von der Buchführungspflicht, d) nein, Journalisten gelten als Freiberufler und sind damit nicht buchführungspflichtig.",d)
"Welche Reihenfolge der Bezeichnungen der Kontennummer (von links nach rechts) ist korrekt? a) Kontenklasse – Kontenart – Kontenunterart – Kontengruppe, b) Kontenart – Kontenunterart – Kontengruppe – Kontenklasse, c) Kontenklasse – Kontengruppe – Kontenart – Kontenunterart",c)
Was ist unter Wirtschafts- und Unternehmensethik zu verstehen?,Anwendung der allgemeinen Ethik auf den Bereich des Wirtschaftens
Was sind die Untersuchungsgegenstände der Wirtschaftsethik?,der Staat; das Wirtschaftssystem; die Gesamtgesellschaft
Was sind die Untersuchungsgegenstände der Unternehmensethik?,Unternehmen; Körperschaften; Organisationen
Was analysiert die deskriptive Wirtschaftsethik?,bestehende ökonomische Theorien; ökonomische Rationalität; Folgewirkungen wirtschaftspolitischer Aktivitäten (Umweltpolitik; Entwicklungshilfe); ethisch defizitäre Entwicklungen; Unterschiede zwischen den idealtypischen Annahmen der ökonomischen Theorie und der sozialen Wirklichkeit der betroffenen Individuen; Interpendenzen verschiedener Ordnungen (z.B. zwischen Wirtschafts- und Rechtsordnung)
Was sind die Aufgaben der normativen Wirtschaftsethik?,Anwendung ethischer Begriffe und Theorien auf wirtschaftsethische Fragestellungen; Entwicklung eigenständiger wirtschaftsethischer Theorien; Beantwortung der Frage nach sinnvollen Anreizbedingungen zur Ermöglichung des moralischen Handelns in ökonomischen Kontexten
Was analysiert die deskriptive Unternehmensethik?,Werthaltungen in der Unternehmensführung; Genese moralischer Fehlentscheidungen; Ermöglichungsbedingungen moralischen Handelns; Probleme der Verantwortungszuweisung; moralische Folge- und Nebenwirkungen unternehmerischen Handelns; Adressaten moralischer Normen und Sanktionen
Was sind die Aufgaben der normativen Unternehmensethik?,"Anwendung ethischer Begriffe und Theorien auf unternehmensethische Fragestellungen; Entwicklung eigenständiger unternehmensethischer Theorien, ethischer Kompetenz und Ethikkodizes; Festlegung der Bedingungen moralischen Handelns; moralische Kritik an unternehmerischen Entscheidungen; Bereitstellung von Entscheidungshilfen für moralische Entscheidungen"
Nennen Sie 2 eigenständige wirtschaftsethische Theorien!,Utilitarismus (eher in England und in den USA); Deontologie (eher in Deutschland)
Was ist der Soll-Zustand bzgl. der ethischen Kompetenz der Mitarbeiter?,"Lernen potenzieller Mitarbeiter des ethisch kompetenten Umgangs (Reaktion auf Probleme in umsichtiger, kompetenter und reflektierter Weise) mit moralischen ggf. im Berufsalltag auftretenden Problemen bereits in ihrer Berufsausbildung"
Warum ist die ethische Kompetenz der Mitarbeiter wichtig?,zunehmende moralische Konfliktlagen in Unternehmen; häufig unzureichende Problemlösungsversuche; zunehmende Moralisierung der Märkte
Was bedeutet ethische Kompetenz?,"Fähigkeiten zum logischen Denken, zur Begriffsanalyse und zur begrifflichen Differenzierung sowie zu rationalem Argumentieren; Kenntnis der wichtigsten ethischen Ausdrücke und Theorien; Wirtschaftswissenschaftliche Kompetenz; Kompetenz der Gewichtung empirischer und normativer Gesichtspunkte"
Zwischen welchen 2 Ansätzen wird innerhalb der normativen Unternehmensethik differenziert?,Unternehmensethik als ethischer Begründungsdiskurs & Unternehmensethik als Managementtheorie
Was ist der Grundkonflikt bei der Unternehmensethik als Begründungsdiskurs?,"gleichzeitige Konfrontation der Wirtschaftsakteure mit 2 Forderungen: moralische Forderungen & ökonomische Forderungen -> dadurch nicht selten Nahelegen gegensätzlicher Handlungsempfehlungen, aber Moral/ Altrusimus <-> Gewinn/ Egoismus"
Was ist die Rolle der Unternehmensethik als Begründungsdiskurs bei diesem Grundkonflikt (Moral vs. Gewinn)?,Aufgabe der Unternehmensethik: Lösen dieses Konflikts
Was ist das Problem aus Sicht der Handlungstheorie?,"Wirtschaftsakteur (rationaler, nur am Eigennutz interessierter Nutzenmaximierer, d.h. Homo Oeconomicus) vs. Moralischer Akteur (rationaler, am Wohl anderer interessierter, altruistischer Akteur)"
Was sind die grundlegenden zu beantwortenden Fragen der Unternehmensethik als ethischer Begründungsdiskurs?,Ausschluss oder sinnvolle Ergänzung von Moral und Eigeninteresse? -> Lösung des Problems einer scheinbar widersprüchlichen interessensbasierten Moral & Wie lässt sich in einer von rationalen Egoisten durchdrungenen ökonomischen Welt Moral ermöglichen? -> Lösung des Problems der Implementierung moralischer Forderungen unter Wettbewerbsbedingungen
Was sind Möglichkeiten zur Lösung des Problems aus Sicht der Handlungstheorie?,"Möglichkeit 1: Ausschluss von Moral und Eigeninteresse, d.h. Notwendigkeit einer Entscheidung oder Vermittlung zwischen beiden Forderungen; Möglichkeit 2: Vereinbarkeit von Moral und Eigeninteresse miteinander"
Was sind Nachteile des Ausschlusses von Moral und Eigeninteresse?,Gefahr des unmoralischen Handelns (Primat der Ökonomie) bzw. Gefahr des wirtschaftlichen Ruins (Primat der Moral) -> Problem der Implementierung nicht bzw. nur schwer lösbar
Was bedeutet Vereinbarkeit von Moral und Eigeninteresse als Möglichkeit zur Lösung des Problems aus Sicht der Handlungstheorie konkret?,"Moralisches Handeln = Handeln zugunsten anderer, im langfristigen, rationalen Interesse der betroffenen Akteure, d.h. Zusammenarbeit zum gegenseitigen Vorteil (interessensbasierte Ethik; Kontraktualismus)"
Was ist der Vorteile der Vereinbarkeit von Moral und Eigeninteresse miteinander als Möglichkeit zur Lösung des Problems aus Sicht der Handlungstheorie?,"Möglichkeit der anreizkompatiblen Gestaltung der Moral, d.h. Möglichkeit des Lösens des Problems der Implementierung moralischer Forderungen unter Wettbewerbsbedingungen"
Was ist die normative Zielsetzung der interessensbasierten Unternehmensethik?,Vereinbarkeit von Moral und Eigeninteresse miteinander durch geeignete Investitionen in die eigene und zugleich allgemeine Besserstellung
Was sind mögliche Investitionen im Kontext der normativen Zielsetzung der interessensbasierten Unternehmensethik?,Investitionen in die Rahmenbedingungen; Investitionen in die Reputation; Investitionen in die Produktivität der Mitarbeiter
Was sind Beispiele für Investitionen in die Rahmenbedingungen im Kontext der normativen Zielsetzung der interessensbasierten Handlungstheorie?,"Ethikkodizes, Ethikbüros, Ethikaudits; Mediation; Corporate Governance"
Was sind Beispiele für Investitionen in die Reputation im Kontext der normativen Zielsetzung der interessensbasierten Handlungstheorie?,Corporate Reputation; Corporate Citizenship; Nachhaltigkeitsfonds
Was sind Beispiele für Investitionen in die Produktivität der Mitarbeiter im Kontext der normativen Zielsetzung der interessensbasierten Handlungstheorie?,Mitarbeiterführung; Work-Life-Balance
Was ist die Aufgabe der Unternehmensethik als Managementtheorie?,"Lösen, wie eine Gestaltung der Investitionen so möglich ist, dass das Ziel der eigenen und zugleich allgemeinen Besserstellung erreicht werden kann"
Was ist das Problem im Kontext der Unternehmensethik als Managementtheorie?,Leisten eines Beitrags zur allgemeinen Besserstellung bzw. Investieren in eine Zusammenarbeit zum gegenseitigen Vorteil nicht immer im Interesse des Einzelnen
"Was ist der Grund, dass ein Investieren in eine Zusammenarbeit zum gegenseitigen Vorteil nicht immer im Interesse des Einzelnen ist?",Hervorrufen ökonomischer Nachteile durch moralische Vorleistungen unter bestimmten Bedingungen (Begriff in der Wirtschaftsethik: Dilemmastruktur)
Was sind die 2 Anforderungen für ein gutes Ethikmanagement im Kontext der Unternehmensethik als Managementtheorie?,Befriedigung sozialer Bedürfnisse; Erhalten bzw. Ausbauen der Wettbewerbsfähigkeit
"Welche 2 Strategien werden gewählt, um die 2 Anforderungen eines guten Ethikmanagements im Kontext der Unternehmensethik als Managementtheorie zu erfüllen?",Ausrichtung des sozialen Engagements an der Wertschöpfungskette und Implementierung der Ethik im Unternehmen
Was bedeutet die Strategie Ausrichtung des sozialen Engagements an der Wertschöpfungskette im Kontext der Unternehmensethik als Managementtheorie konkret?,Entstehung einer Win-Win-Situation für Unternehmen und Gesellschaft durch das soziale Engagement eines Unternehmens im Idealfall; Erreichen einer Win-Win-Situation am besten durch Annehmen gesellschaftlicher Probleme mit Zusammenhang zum Kerngeschäft des Unternehmens
Was sind Gründe für die Ausrichtung des sozialen Engagements an der Wertschöpfungskette im Kontext der Unternehmensethik als Managementtheorie?,Möglichkeit für Innovationen; Möglichkeit der ethischen Profilbildung des Unternehmens; Möglichkeit des Profitierens gesellschaftlicher Probleme von unternehmerischem Know-How
Was ist ein Beispiel für die Ausrichtung des sozialen Engagements an der Wertschöpfungskette im Kontext der Unternehmensethik als Managementtheorie?,Entwicklung des Hybridmotors durch Toyota lange vor den Aktivitäten anderer Unternehmen (Erfolgreiche Innovation = Hybridmotor; ethische Profilbildung = Assoziation der Marke Toyota mit umweltschonenden Autos; Einsatz des unternehmerischen Know Hows = Reduzieren der Umweltverschmutzung durch Autos)
Was ist der Zusammenhang der beiden Strategien im Kontext der Unternehmensethik als Managementtheorie?,Notwendigkeit der systematischen Implementierung der Ethik im Unternehmen zur Ausrichtung des sozialen Engagements an der Wertschöpfungskette
Was sind die 5 Implementierungsphasen zur Implementierung der Ethik im Unternehmen im Kontext der Unternehmensethik als Managementtheorie?,1.) Ist-Aufnahme/ Identifikation des Handlungsbedarfs -> 2.) Erarbeitung eines ethisch reflektierten Unternehmensleitbilds und Auswahl von CSR-Schwerpunkten -> 3.) Verankerung im Unternehmen -> 4.) Externe Begutachtung umgesetzter Maßnahmen -> 5.) Berichterstattung und Kommunikation
Was ist die Aufgabe der Wirtschaftsethik?,Das Aufzeigen der Bedingungen der Möglichkeit ethischen Handelns unter Wettbewerbsbedingungen  & Berücksichtigung der dilemmatischen Strukturen in ökonomischen Kontexten
Was versteht man unter einer Dilemmastruktur?,"Eine Situation, in der Interessenskonflikte die Realisierung der gemeinsamen Interessen verhindern"
Was ist ein Beispiel für eine Dilemmastruktur?,Das Gefangenendilemma
Was ist die Ausgangssituation im Gefangenendilemma??,Festnahme von 2 Bankräubern; Möglichkeit der Überführung als Bankräuber nur bei mindestens einem Tatgeständnis; keine Kommunikationsmöglichkeit der Männer untereinander für Abstimmung der Aussagen; Einzelverhöre kurz bevorstehend
Was sind die Optionen der Männer im Gefangenendilemma?,Schweigen beider Männer; Gestehen beider Männer; Geständnis eines Mannes und Belastung des nicht geständigen Komplizen
"Was ist die Konsequenz im Gefangenendilemma, wenn beide Männer schweigen?","ggf. Gefängnisstrafe von einem Jahr, da nur Nachweis unerlaubten Waffenbesitzes, aber keiner Straftat"
"Was ist die Konsequenz im Gefangenendilemma, wenn beide Männer gestehen?",ggf. jeweils eine Gefängnisstrafe von 5 Jahren
"Was ist die Konsequenz im Gefangenendilemma bei einem Geständnis eines Mannes, der den nicht geständigen Komplizen belastet?",Fallenlassen der Anklage als Kronzeuge und Bestrafung des nicht geständigen Komplizen mit 10 Jahren Freiheitsentzug
Welches Verhalten wird aufgrund rationaler Überlegungen bei der Prämisse des Anstrebens einer möglichst geringen Strafe von jedem der beiden Gefangenen im Gefangenendilemma angestrebt?,"bei Nichtgestehen des Komplizen -> Gestehen am günstigsten, da Entlassung in die Freiheit und kein Verbringen eines Jahres im Gefängnis; bei Gestehen des Komplizen -> Gestehen am günstigsten, da Rechnen mit 5 Jahren und nicht mit 10 Jahren Gefängnis"
Was ist das Ergebnis des Gefangenendilemmas?,"Geständnis führt immer zu günstigeren Konsequenzen im Vergleich zum Leugnen unabhängig vom Schweigen oder Geständnis des Komplizen, aber: Geständnis beider Gefangenen (rationale Entscheidung) -> 5 Jahre Gefängnisstrafe; Leugnen beider Gefangenen -> Gefängnisstrafe von einem Jahr für beide Gefangenen "
Was ist das Fazit bzgl. des Gefangenendilemmas?,"Hervorrufen relativ ungünstiger Konsequenzen für beide Männer von der durch das Eigeninteresse diktierten Wahl; günstigere Konsequenzen für beide Seiten durch beiderseitiges Vertrauen, d.h. Überzeugung vom kooperativem Verhalten (Schweigen) des Komplizen"
Was ist die Folgerung aus dem Gefangenendilemma?,"einerseits führt rationales Verhalten nicht zwangsläufig zu den günstigsten Konsequenzen für denjenigen mit unkooperativem Verhalten, andererseits lässt sich kooperatives Verhalten nur bei Existenz der begründeten Erwartung des ebenfalls kooperativen Verhaltens des anderen rational rechtfertigen"
Was sind die zugrundeliegenden Probleme des Gefangenendilemmas?,Anreizproblem; Informationsproblem
Was ist die Aussagekraft des Anreizproblems im Kontext des Gefangenendilemmas?,Jeder in einer Dilemmastruktur hat einen massiven Anreiz zur Verfolgung des der Kooperation in einer Weise zuwiderlaufenden Eigeninteresses
Wie kann das Anreizproblem gelöst werden?,Durch geeignete Rahmenbedingungen
Was ist die Aussagekraft des Informationsproblems im Kontext des Gefangenendilemmas?,"fehlende verlässliche, glaubwürdige Information über die Kooperationsbereitschaft des Anderen -> Scheitern der Kooperation ohne diese Information"
Wie kann das Informationsproblem gelöst werden?,Durch das Schaffen geeigneter Institutionen
Was sind beispielhafte Situationen aus dem Alltag mit struktureller Entsprechung des Gefangenendilemmas?,"Luftverschmutzung, z.B. durch Autoabgase; hoher Wasserverbrauch von Privathaushalten; Schädigung der Erde durch Treibgase; Verschmutzung von Gewässern durch Korruption"
Was ist die Schlussfolgerung von den beispielhaften Situationen aus dem Alltag mit struktureller Entsprechung des Gefangenendilemmas?,"Individuell kluges Handeln, kollektiv an den Tag gelegt, gerät gemessen an den Eigenmaximierungszielen der Akteure zur kollektiven Dummheit."
Wer kann Rahmenbedingungen zur Lösung des Anreizproblems setzen?,der Staat; die Verbraucher; die Unternehmen selbst
Wie kann der Staat geeignete Rahmenbedingungen zur Lösung des Anreizproblems setzen?,"Gesetze, z.B. die Sentencing Guidelines in den USA oder das Ordnungswidrigkeitsgesetz §130 in Deutschland"
Was besagen die Sentencing Guidelines?,Die Bestrafung der Unternehmen als Unternehmen ist bei Begehen einer Straftat durch einen Mitarbeiter zugunsten des Unternehmens möglich (z.B. Schmiergeld).
Wann kann ein Unternehmen mit einer Strafmilderung/ einem Straferlass im Kontext der Sentencing Guidelines rechnen?,"Bei einem Nachweis, dass alles mögliche für die Verhinderung der Straftat getan wurde -> Nachweis des Verfügens über ein Unternehmensleitbild; Schulung der Mitarbeiter bzgl. der Werte des Unternehmensleitbilds; Einrichtung eines Compliance-Büros zum Melden solcher Regelverstöße"
Was besagt das Ordnungswidrigkeitsgesetz §130?,Verurteilung zu einer Geldstrafe bei Begehen einer Ordnungswidrigkeit durch einen Manager bei Verletzung seiner Aufsichtspflicht
In welchem Fall verletzt ein Manager seine Aufsichtspflicht gemäß des Ordnungswidrigkeitsgesetzes §130?,"wenn ein Manager nicht alles zur Verhinderung einer Straftat im Unternehmen getan hat, auch wenn er selbst die Straftat weder angeordnet noch davon gewusst hat (Bsp.: Schmiergeldaffäre bei Siemens)"
Was ist das Fazit der Rahmenbedingungen durch den Staat zur Lösung des Anreizproblems?,"Möglichkeit für den Staat durch einschlägige Gesetze, ethisches Handeln für Unternehmen attraktiv bzw. unethisches Handeln unattraktiv zu machen -> Rahmenbedingungen durch den Staat = klassischer Gegenstand der Wirtschaftsethik"
Was sind geeignete Rahmenbedingungen durch den Verbraucher zur Lösung des Anreizproblems?,Möglichkeit des Prämierens ethischen Verhaltens von Unternehmen am Markt bzw. des Abstrafens unethischen Verhaltens von Unternehmen am Markt durch den Verbraucher
"Was sind beispielhafte Rahmenbedingungen, die der Verbraucher zur Lösung des Anreizproblems setzen kann?",LOHAS; Nachhaltigkeitsfonds
Was ist die Konsequenz von gesetzten Rahmenbedingungen durch den Verbraucher zur Lösung des Anreizproblems?,"Die Moralisierung der Märkte führt zu einem enormen Anreiz für Unternehmen, sich ethisch korrekt zu verhalten."
Was sind Rahmenbedingungen durch Unternehmen zur Lösung des Anreizproblems?,Kollektive Probleme (z.B. Luftverschmutzung; Korruption; Verpflichtungen zur Einhaltung hoher Sozialstandards) erfordern kollektive Lösungen (z.B. Branchenvereinbarung; Integritätspakt)
"Warum bedarf ein kollektives Problem, wie die Korruption, einer kollektiven Lösung zur Lösung des Anreizproblems?","Die Korruption besitzt eine dilemmatische Struktur, d.h. bei Verzicht eines Unternehmens auf Schmiergeldzahlungen, während alle anderen Unternehmen weiterhin Schmiergeld bezahlen, entgeht diesem Unternehmen die Chance, an bestimmte Aufträge zu kommen"
"Was passiert, wenn alle Unternehmen ein Schmiergeld bezahlen?","Es entsteht für kein Unternehmen ein Vorteil durch die Schmiergeldzahlung, stattdessen entsteht für jedes Unternehmen ein Nachteil durch höhere Kosten und die Gefahr der Entdeckung und Bestrafung"
"Was ist für Unternehmen in Bezug auf das Korruptionsproblem, das eine dilemmatische Struktur aufweist, am attraktivsten?","Verzicht auf Schmiergeldzahlungen, da dies die Kosten reduziert und eine Straftat vermieden wird"
"Warum zahlen Unternehmen weiterhin Schmiergeld, obwohl dies für sie nicht am attraktivsten ist?","keine Möglichkeit der Annahme der Imitation anderer Unternehmen bzgl. des Verzichts von Schmiergeldzahlungen, sobald ein Unternehmen auf Schmiergeldzahlungen verzichtet"
Was sind kollektive Lösungen zur Lösung kollektiver Probleme?,"Branchenvereinbarung; Integritätspakt (1966 von 35 Unternehmen der bayerischen Bauindustrie gegen Korruption beschlossen); gemeinsame Verpflichtung aller Unternehmen auf Verzicht bestimmter Praktiken; Durchführung bestimmter, gemeinsam beschlossener Maßnahmen; Notwendigkeit der Kontrolle der Verpflichtungen von externer Seite"
Was sind Institutionen zur Beseitigung von Informationsdefiziten oder -asymmetrien im Kontext des Informationsproblems?,"anreizbewehrte, dauerhaft, gestaltbare Regeln bzw. Systeme von Regeln mit der Aufgabe zur Herstellung von Berechenbarkeit und der dauerhaften Stabilisierung der wechselbeseitigen Verhaltenserwartungen; geeignete Institutionen sind dabei Teil der zu realisierenden Rahmenbedingungen zur Ermöglichung von ethisch richtigem Handeln"
Was sind exemplarische Institutionen zur Lösung des Informationsproblems?,"Verträge; Gesetze; moralische Normen (Politik, Verwaltung, Gerichtsbarkeit, Polizei, Gemeinschaft etc. )"
Was ist das Fazit bzgl. des Anreiz- und Informationsproblems?,"Das Problem sind nicht die Gesinnungen der Akteure, sondern die Bedingungen der Situation"
"Was passiert, wenn die geeigneten Rahmenbedingungen im Kontext des Anreiz- und Informationsproblems nicht gegeben sind?",Ethisches Handeln führt ggf. zu schweren Wettbewerbsnachteilen und verdrängt im Extremfall ausgerechnet die moralischen Akteure vom Markt.
"Was passiert, wenn die Rahmenbedingungen im Kontext des Anreiz- und Informationsproblems richtig gesetzt werden?",Ethisch richtiges Handeln führt ggf. zu einem Wettbewerbsvorteil.
Was ist eine weitere Möglichkeit zur Lösung des Anreiz- und Informationsproblems neben Institutionen und Rahmenbedingungen?,"Die Tit-for-Tat-Strategie bei dilemmatischen Situationen mit der Struktur eines iterierten Gefangenendilemmas, d.h. Anreiz- und Informationsprobleme verschwinden in dilemmatischen Situationen unter bestimmten Bedingungen durch den Zauber der Wiederholung"
Was besagt das iterierte Gefangenendilemma?,"Bei einmaligen Spielen gilt die unkooperative Wahl als rational, bei mehrfachem Spielen hintereinander ist die unkooperative Wahl nicht mehr unbedingt rational -> Unkooperative Wahlen werden i.d.R. durch eine unkooperative Wahl vom Mitspieler beantwortet, was ein ungünstiges Gesamtergebnis in der Endabrechnung erzeugt."
Was besagt die Tit-for-Tat-Strategie?,"Tit-for-Tat (""Wie du mir, so ich dir""); Ergebnis einer berühmt gewordenen Untersuchung des amerikanischen Politikwissenschaftlers Robert Axelrod (Kooperation zu Beginn; Wahl der Strategie (Kooperation/ Defektion), die dein Gegenspieler als Antwort auf deine Strategie wählt"
Warum funktioniert die Tit-for-Tat-Strategie?,"Der Zauber der Wiederholung führt zu kooperativem Verhalten, d.h. der Mitmensch, der seine Partner regelmäßig übertölpelt, steht bald alleine dar; Stärkung der Geschäftsmoral durch die Hoffnung auf weitere Geschäfte"
Was ist zusammengefasst die Aufgabe der Wirtschaftsethik?,"Das Aufzeigen der Bedingungen der Möglichkeit ethischen Handelns unter Wettbewerbsbedingungen, z.B. anreizgesteuerte Wirtschaftspolitik, ethisch orientierte Verbrauchernachfrage, kollektive Lösungen für kollektive Probleme, Schaffung geeigneter Institutionen"
Was sind die Voraussetzungen für erfolgreiches ethisches Handeln eines Unternehmens am Markt?,"Die Erfüllung der genannten notwendigen bzw. externen Kriterien Bedingungen (->Wirtschaftsethik); Die ERfüllung einer hinreichenden, internen Bedingung (-> Unternehmensethik), d.h. das Unternehmen muss über ein gutes Ethikmanagement für erfolgreiches ethisches Handeln am Markt verfügen"
Worin liegt der ökonomische Nutzen der Ethik für Unternehmen?,Alleinstellungsmerkmal; allgemeine Wertsteigerung des Unternehmens; Risikominimierung; Kostensenkungseffekte (etwa durch nachhaltiges HR-Management); Vertrauensbildung; höhere Mitarbeiterbindung; leichtere Gewinnung neuer Mitarbeiter; verbesserte Unternehmenskultur; Stärkung der Kundenbindung; verbesserter Zugang zu Kapitalmärkten
Was sind die Bedingungen erfolgreichen ethischen Handelns in Unternehmen?,"Geeignete Rahmenbedingungen, z.B. eine anreizgesteuerte Wirtschaftspolitik, eine ethisch orientierte Verbrauchernachfrage, kollektive Lösungen für kollektive Probleme, geeignete Institutionen, sowie ein gutes Ethikmanagement"
